Name;Size;"First name";"Last name";Downloads;Date;Path
.gitattributes;3305;Lisa;Golla;209;"08.05.2022 16:33";.gitattributes
.gitignore;1402;Lisa;Golla;193;"08.05.2022 16:33";.gitignore
